"","ORIGIN_NM","latitude_origin","longitude_origin"
"1","",NA,NA
"2","Australia",-25.274398,133.775136
"3","Austria",47.516231,14.550072
"4","Belgium",50.503887,4.469936
"5","Bhutan",27.514162,90.433601
"6","Brazil",-14.235004,-51.92528
"7","Canada",56.130366,-106.346771
"8","Chile",-35.675147,-71.542969
"9","China",35.86166,104.195397
"10","Cocos (Keeling) Islands",-12.164165,96.870956
"11","Colombia",4.570868,-74.297333
"12","Costa Rica",9.748917,-83.753428
"13","Cote D`Ivoire",7.539989,-5.54708
"14","Denmark",56.26392,9.501785
"15","Dominica",15.414999,-61.370976
"16","Dominican Republic",18.735693,-70.162651
"17","Ecuador",-1.831239,-78.183406
"18","El Salvador",13.794185,-88.89653
"19","Eritrea",15.179384,39.782334
"20","Ethiopia",9.145,40.489673
"21","Fiji",-17.713371,178.065032
"22","France",46.227638,2.213749
"23","Georgia",32.1656221,-82.9000751
"24","Germany",51.165691,10.451526
"25","Ghana",7.946527,-1.023194
"26","Gibraltar",36.140751,-5.353585
"27","Guatemala",15.783471,-90.230759
"28","Honduras",15.199999,-86.241905
"29","India",20.593684,78.96288
"30","Indonesia",-0.789275,113.921327
"31","Iran",32.427908,53.688046
"32","Ireland",53.1423672,-7.6920536
"33","Israel",31.046051,34.851612
"34","Italy",41.87194,12.56738
"35","Jamaica",18.109581,-77.297508
"36","Japan",36.204824,138.252924
"37","Kazakhstan",48.019573,66.923684
"38","Kenya",-0.023559,37.906193
"39","Malawi",-13.254308,34.301525
"40","Malaysia",4.210484,101.975766
"41","Mauritius",-20.348404,57.552152
"42","Mexico",23.634501,-102.552784
"43","Morocco",31.791702,-7.09262
"44","Namibia",-22.95764,18.49041
"45","Nepal",28.394857,84.124008
"46","Netherlands",52.132633,5.291266
"47","New Caledonia",-20.904305,165.618042
"48","New Zealand",-40.900557,174.885971
"49","Nicaragua",12.865416,-85.207229
"50","Nigeria",9.081999,8.675277
"51","Palestinian Territory",31.952162,35.233154
"52","Panama",8.537981,-80.782127
"53","Peru",-9.189967,-75.015152
"54","Philippines",12.879721,121.774017
"55","Poland",51.919438,19.145136
"56","Portugal",39.399872,-8.224454
"57","Samoa",-13.759029,-172.104629
"58","Singapore",1.352083,103.819836
"59","South Africa",-30.559482,22.937506
"60","South Korea",35.907757,127.766922
"61","Spain",40.463667,-3.74922
"62","Sri Lanka",7.873054,80.771797
"63","Suriname",3.919305,-56.027783
"64","Switzerland",46.818188,8.227512
"65","Taiwan",23.69781,120.960515
"66","Tanzania",-6.369028,34.888822
"67","Thailand",15.870032,100.992541
"68","Tonga",-21.178986,-175.198242
"69","Turkey",38.963745,35.243322
"70","Uganda",1.373333,32.290275
"71","United Kingdom of Great Britain and N. Ireland",54.7877149,-6.4923145
"72","United States of America",37.09024,-95.712891
"73","Viet Nam",14.058324,108.277199
"74","West Bank",31.9465703,35.3027226
"75","Yemen",15.552727,48.516388
"76","Zambia",-13.133897,27.849332
"77","Zimbabwe",-19.015438,29.154857
"78","Afghanistan",33.93911,67.709953
"79","Bangladesh",23.684994,90.356331
"80","Comoros",-11.6455,43.3333
"81","Cook Islands",-21.236736,-159.777671
"82","Croatia",45.1,15.2000001
"83","Finland",61.92411,25.7481511
"84","Gambia",13.443182,-15.310139
"85","Greece",39.074208,21.824312
"86","Guyana",4.860416,-58.93018
"87","Hong Kong",22.3193039,114.1693611
"88","Iceland",64.963051,-19.020835
"89","Mozambique",-18.665695,35.529562
"90","Netherlands Antilles",52.3763561,4.9245673
"91","Norway",60.472024,8.468946
"92","Romania",45.943161,24.96676
"93","Rwanda",-1.940278,29.873888
"94","Sierra Leone",8.460555,-11.779889
"95","Slovakia",48.669026,19.699024
"96","St. Kitts and Nevis",17.357822,-62.782998
"97","Tajikistan",38.861034,71.276093
"98","Trinidad and Tobago",10.691803,-61.222503
"99","Tunisia",33.886917,9.537499
"100","Ukraine",48.379433,31.1655799
"101","United Arab Emirates",23.424076,53.847818
"102","United States Minor Outlying Islands",19.2823192,166.647047
"103","Algeria",28.033886,1.659626
"104","Belarus",53.709807,27.953389
"105","Bulgaria",42.733883,25.48583
"106","Egypt",26.820553,30.802498
"107","French Guiana",3.933889,-53.125782
"108","French Southern Territories",-49.280366,69.3485571
"109","Maldives",3.202778,73.22068
"110","Micronesia",7.425554,150.550812
"111","Niger",17.607789,8.081666
"112","South America Country Unkown",-8.783195,-55.491477
"113","Wallis and Futuna Islands",-14.2938,-178.1165
"114","Bahamas",25.03428,-77.39628
"115","Bonaire",12.2018902,-68.2623822
"116","Cambodia",12.565679,104.990963
"117","Cayman Islands",19.3133,-81.2546
"118","Estonia",58.595272,25.0136071
"119","Gabon",-0.803689,11.609444
"120","Grenada",12.1165,-61.679
"121","Lithuania",55.169438,23.881275
"122","Papua New Guinea",-6.314993,143.95555
"123","Puerto Rico",18.220833,-66.590149
"124","Saudi Arabia",23.885942,45.079162
"125","Syrian Arab Republic",34.802075,38.996815
"126","Bolivia",-16.290154,-63.588653
"127","Hungary",47.162494,19.5033041
"128","Kyrgyzstan",41.20438,74.766098
"129","Laos",19.85627,102.495496
"130","Mauritania",21.00789,-10.940835
"131","Northern Mariana Islands",15.0979,145.6739
"132","Qatar",25.354826,51.183884
"133","St. Helena",-15.9650104,-5.7089241
"134","Venezuela",6.42375,-66.58973
"135","Andorra",42.506285,1.521801
"136","Argentina",-38.416097,-63.616672
"137","Belize",17.189877,-88.49765
"138","Central African Republic",6.611111,20.939444
"139","St. Lucia",13.909444,-60.978893
"140","US Virgin Islands",18.335765,-64.896335
"141","Jordan",37.9973704,-97.3342624
"142","Mali",17.570692,-3.996166
"143","Myanmar",21.916221,95.955974
"144","Senegal",14.497401,-14.452362
"145","Solomon Islands",-9.64571,160.156194
"146","Uruguay",-32.522779,-55.765835
"147","Vanuatu",-15.376706,166.959158
"148","Albania",41.153332,20.168331
"149","Guam",13.444304,144.793731
"150","Kuwait",29.31166,47.481766
"151","Macedonia",41.608635,21.745275
"152","Oman",21.4735329,55.975413
"153","Cameroon",7.369722,12.354722
"154","Cyprus",35.126413,33.429859
"155","Serbia",44.016521,21.005859
"156","Armenia",40.069099,45.038189
"157","Cape Verde",16.5388,-23.0418
"158","Kiribati",-3.370417,-168.734039
"159","Mayotte",-12.8275,45.166244
"160","San Marino",43.94236,12.457777
"161","Unknown",35.2205059,-80.8575394
"162","Swaziland",-26.522503,31.465866
